Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_27022023000001;0062069600;;0090018000;X1;794206762R;SLI---1271;1;1600;1200;975;190,000;45;GERB--1613_1600_1200;none;202304200000;202304252110;5;100
0090018000_27022023000002;0062067900;;0090018000;X1;682603635R;ECA---0021;1;1200;1000;459;47,020;0;GERB--3551_1200_1000;none;202303300000;202303312115;11;100
0090018000_27022023000003;0062067900;;0090018000;X1;484725090R;ECA---0021;1;1200;1000;1057;101,550;0;GERB--3551_1200_1000;none;202304130000;202304140750;2;100
0090018000_27022023000004;0062059600;;0090018000;X0;764421237R;SLI---0760;1;1200;1000;930;413,580;45;GERB--1213_1200_1000;none;202304100000;202304110610;5;100
0090018000_27022023000005;0062067900;;0090018000;X1;769377743R;SLI---0601;2;1200;1000;750;106,030;45;GERB--1213_1200_1000;none;202303280000;202303292115;1;100
0090018000_27022023000006;0062069600;;0090018000;X1;679032377R;SLI---1271;1;1600;1200;975;184,600;45;GERB--1613_1600_1200;none;202304240000;202304262120;3;100
0090018000_27022023000007;0029908700;;0090018000;X4;873701312R;SLI---0020;1;800;600;445;16,670;0;GERB--3543_800_600;none;202304180000;202304200740;7;100
0090018000_27022023000008;0062069600;;0090018000;X1;849514754R;SLI---1271;2;1600;1200;975;178,600;45;GERB--1613_1600_1200;none;202303100000;202303141635;2;100
0090018000_27022023000009;0062067900;;0090018000;X1;829015765R;ECM---0560;1;2350;1000;950;267,040;45;GERB--1058_2350_1000;none;202304190000;202304201255;2;100
0090018000_27022023000010;0029908700;;0090018000;X4;886055930R;SFDA--6640;4;1600;1200;930;174,305;45;GERB--1613_1600_1200;none;202304140000;202304180935;2;100
0090018000_27022023000011;0062055700;;0090018000;X1;769126945R;ECA---0021;1;1200;1000;1155;109,480;0;GERB--3551_1200_1000;none;202303310000;202304031240;4;100
0090018000_27022023000012;0062067900;;0090018000;X1;484722442R;ECA---0021;1;1200;1000;1057;98,310;0;GERB--3551_1200_1000;none;202304280000;202305021130;2;100
0090018000_27022023000013;0029908700;;0090018000;X4;864304007R;ECA---0021;1;1200;1000;758;127,400;0;GERB--3551_1200_1000;none;202304260000;202304280740;8;100
0090018000_27022023000014;0062059600;;0090018000;X0;762A38486R;SLI---0760;2;1200;1000;930;291,480;45;GERB--1213_1200_1000;none;202303230000;202303241055;4;100
0090018000_27022023000015;0062059600;;0090018000;X0;671222604R;SLI---1200;1;1600;1200;930;781,250;45;GERB--1613_1600_1200;none;202303090000;202303102115;16;100
0090018000_27022023000016;0062059600;;0090018000;X0;743705788R;ECM---1933;1;2000;1200;545;408,880;45;GERB--0121_2000_1200;none;202303010000;202303022115;4;100
0090018000_27022023000017;0062067900;;0090018000;X1;769135803R;ECA---0021;1;1200;1000;943;94,680;0;GERB--3551_1200_1000;none;202303010000;202303020750;2;100
0090018000_27022023000018;0029908700;;0090018000;X4;883054589R;SFDA--6640;3;1600;1200;930;169,960;45;GERB--1613_1600_1200;none;202304110000;202304132025;2;100
0090018000_27022023000019;0062069600;;0090018000;X1;749414406R;SLI---1271;4;1600;1200;975;155,800;45;GERB--1613_1600_1200;none;202303280000;202303300740;1;100
0090018000_27022023000020;0062067900;;0090018000;X1;802931259R;ECA---0021;1;1200;1000;459;54,354;0;GERB--3551_1200_1000;none;202303200000;202303210750;21;100
0090018000_27022023000021;0062059600;;0090018000;X0;766232445R;SLI---0901;2;1600;1200;750;197,340;45;GERB--1613_1600_1200;none;202303130000;202303140610;3;100
0090018000_27022023000022;0062059600;;0090018000;X0;767515402R;SLI---1200;1;1600;1200;930;356,200;45;GERB--1613_1600_1200;none;202304130000;202304142115;5;100
0090018000_27022023000023;0062059600;;0090018000;X0;765317368R;SLI---1200;2;1600;1200;930;663,220;45;GERB--1613_1600_1200;none;202304030000;202304041125;9;100
0090018000_27022023000024;0062067900;;0090018000;X1;620727808R;SLI---1271;7;1600;1200;975;166,392;45;GERB--1613_1600_1200;none;202303170000;202303201645;1;100
0090018000_27022023000025;0062060800;;0090018000;X2;172031693R;ECM---5712;2;1600;1200;1350;207,720;45;GERB--1613_1600_1200;none;202304100000;202304111800;5;100
